genre,pl_id,artist_name,track_name,track_pop,track_isrc,yt_link,viewCount
aggrotech,spotify:playlist:710IY6IOVa3h64CvE0INWb,:Wumpscut:,Loyal To My Hate,30,US57M1064708,https://www.youtube.com/watch?v=QUC2txdZ5bE,23869
krautrock,spotify:playlist:3IttYEBZxFNRk0J6eZaHDd,Harmonia,Veteranissimo - Live,35,GBLAZ0500145,https://www.youtube.com/watch?v=FpakAmF68JA,58140
new wave,spotify:playlist:1ydxatu4wrujF0H2hGU8IR,The Associates,Party Fears Two,39,UKCUL8200008,https://www.youtube.com/watch?v=-Lx1_Add-z4,79518
diva house,spotify:playlist:0kAFZCbHemKb8RxZhDPZbv,"Deep Dish,Richard Morel,BT",Mohammad Is Jesus...,31,GBARS9800064,https://www.youtube.com/watch?v=hG7dlGwBefU,4782
slap house,spotify:playlist:1TAxbbKCs6rlEQcrdVWYmW,Sandronix,Rhythm Is a Dancer,35,QZK6M2024620,https://www.youtube.com/watch?v=b8zk6Fy71TU,76723
krautrock,spotify:playlist:3IttYEBZxFNRk0J6eZaHDd,Triumvirat,The Capitol Of Power,26,DEA340201115,https://www.youtube.com/watch?v=GRVDP_87yBw,101699
diva house,spotify:playlist:0kAFZCbHemKb8RxZhDPZbv,Pepper Mashay,I've got My Pride,18,usy280792108,https://www.youtube.com/watch?v=lxYaEkIfV3g,7232
soulful house,spotify:playlist:5KloWVVDflJ495FWRbh0QE,"Groove Junkies,Baskerville Jones,Shane D",Born To Flow - Shane D Remix,31,USMH31200430,https://www.youtube.com/watch?v=Brn60upwsKo,26128
soulful house,spotify:playlist:5KloWVVDflJ495FWRbh0QE,"Wipe The Needle,Lifford",Kissing You - Original Mix,17,GBQU91200257,https://www.youtube.com/watch?v=nbLNZTcD77w,85147
diva house,spotify:playlist:0kAFZCbHemKb8RxZhDPZbv,Jeanie Tracy,Can I Come over and Play with You Tonight,12,GBRH31200073,https://www.youtube.com/watch?v=N28WWNuvghs,25124
aggrotech,spotify:playlist:710IY6IOVa3h64CvE0INWb,Decoded Feedback,Bio-Vital,16,US57M0510104,https://www.youtube.com/watch?v=IoKlVa1dG2Y,22464
aggrotech,spotify:playlist:710IY6IOVa3h64CvE0INWb,Xotox,Eisenkiller - Original Version,16,DEKV21801077,https://www.youtube.com/watch?v=kTAEI5Us_5g,5109
krautrock,spotify:playlist:3IttYEBZxFNRk0J6eZaHDd,Krokodil,And I Know,17,DEA437200042,https://www.youtube.com/watch?v=O9tLRey5hkY,33501
nintendocore,spotify:playlist:0oSBswMPV792Pth26EyI7N,Electric Dragon,Covenant,33,QM2PV1673437,https://www.youtube.com/watch?v=zyGM6dbheos,38144
soulful house,spotify:playlist:5KloWVVDflJ495FWRbh0QE,"Brian Power,Lucita Jules,Michael Gray",Optimistic (feat. Lucita Jules) - [Michael Gray Remix],36,USNRS2140849,https://www.youtube.com/watch?v=ViRpO2qMEf0,23847
doomcore,spotify:playlist:3OFavLb9tW7gAThaWdthHx,"AK-Industry,Â",Resurgence,9,GB8KE1858828,https://www.youtube.com/watch?v=40MShMGFv6Q,6230
aggrotech,spotify:playlist:710IY6IOVa3h64CvE0INWb,Punto Omega,Punto Omega,12,DEZ900800597,https://www.youtube.com/watch?v=424iJRqBu1M,13798
krautrock,spotify:playlist:3IttYEBZxFNRk0J6eZaHDd,Missus Beastly,Geisha,10,DEC830700146,https://www.youtube.com/watch?v=hKnRwRtoaZc,12227
nintendocore,spotify:playlist:0oSBswMPV792Pth26EyI7N,Psyopus,Duct Tape Smile,15,USMBR0906238,https://www.youtube.com/watch?v=yl4Q25Ks6Qs,102135
hardstyle,spotify:playlist:49gROGYXXsoGl3DQxGcmdb,Physika,Dancing In The Dark,39,NLFL72100302,https://www.youtube.com/watch?v=63J05Mc-x-Q,4786
nintendocore,spotify:playlist:0oSBswMPV792Pth26EyI7N,8bit bEtty,The Hedgehog's Dilemma,8,UST8K1507816,https://www.youtube.com/watch?v=gWukD1rKn0A,28710
eurodance,spotify:playlist:4jw4G9J55p7tXV2xEAGUj4,Look Twice,Move That Body (Radio Edit),39,FISCA1000025,https://www.youtube.com/watch?v=G9It3f_5IEA,34410
eurodance,spotify:playlist:4jw4G9J55p7tXV2xEAGUj4,Taleesa,I Found Luv - Club Mix,39,FR6V80041933,https://www.youtube.com/watch?v=SmQONaoZO30,6986
doomcore,spotify:playlist:3OFavLb9tW7gAThaWdthHx,"The DJ Producer,Hellfish,Dolphin",Tribe Of XTRM,16,NLCK41043951,https://www.youtube.com/watch?v=DWrt7v64EMY,28802
nintendocore,spotify:playlist:0oSBswMPV792Pth26EyI7N,Covox,Attack Vector,32,USA561337796,https://www.youtube.com/watch?v=v6h4wOCcvkk,7184
doomcore,spotify:playlist:3OFavLb9tW7gAThaWdthHx,Igneon System,Beatdown [Mixed],12,NLS241900376,https://www.youtube.com/watch?v=ETwYph7ZCFg,8121
doomcore,spotify:playlist:3OFavLb9tW7gAThaWdthHx,Enzyme X,Rauwkost,11,NLHY50900248,https://www.youtube.com/watch?v=h5PMLMgj_gA,38805
