genre	pl_id	artist_name	track_name	track_pop	track_isrc
dream trance	spotify:playlist:0m1icO5Ea5t8btM4xQ7mHT	Nylon Moon	Sky Plus - Original Version	2	ITA169700207
dream trance	spotify:playlist:0m1icO5Ea5t8btM4xQ7mHT	Liquid Love,Pascal Feos	Sweet Harmony - Pascal F.E.O.S. Remix	2	DEGE91900108
dream trance	spotify:playlist:0m1icO5Ea5t8btM4xQ7mHT	DJ Phantasma	Revolution	2	AUXL31400773
dream trance	spotify:playlist:0m1icO5Ea5t8btM4xQ7mHT	Magnetic Pulstar	Secret Love - Club Mix	2	DEP991400009
drumfunk	spotify:playlist:5i3nz8m7XR6D7PUoIchxW8	Fracture & Neptune	Colemanism	2	US2Y30616918
drumfunk	spotify:playlist:5i3nz8m7XR6D7PUoIchxW8	macc	Guttural	2	US2Y30616912
drumfunk	spotify:playlist:5i3nz8m7XR6D7PUoIchxW8	Infuzoria	Rose - Aural Imbalance Remix	2	DEAR41334979
drumfunk	spotify:playlist:5i3nz8m7XR6D7PUoIchxW8	Senses	Sensual Woman	2	GBGVZ1010459
drumfunk	spotify:playlist:5i3nz8m7XR6D7PUoIchxW8	Kubiks & Lomax	"Trading Places - 12"" Version"	2	GBKPL1138382
drumfunk	spotify:playlist:5i3nz8m7XR6D7PUoIchxW8	Dissident	Cocosmos	2	NLCK41045741
dub techno	spotify:playlist:13Kst5O4iuiTXwJcbBTJ26	Soultek	Slice of Funk Pie	2	AUXW20800031
dungeon synth	spotify:playlist:6kLG3oulPcD3Q2cOEuO4fV	Lord Wind	War Song	2	ESA012010945
dungeon synth	spotify:playlist:6kLG3oulPcD3Q2cOEuO4fV	Aardia	The Prophecy	2	SEYOK1416067
dutch house	spotify:playlist:2A2qSpDa4K8gD55D7sDJe7	Rene Kuppens	Congo Drumz - Mix 1	2	NLC281110457
dutch house	spotify:playlist:2A2qSpDa4K8gD55D7sDJe7	Olivs,Energy System,Artistic Raw	F*** in the Club (Artistic Raw Remix)	2	USA561157293
electro swing	spotify:playlist:5oDNHd53EGh5BoiWGYIqH0	Klischée	Get This (Bang Bang)	2	CHD241700011
electro-industrial	spotify:playlist:0ZVLhUadGf0IkCOecGIgtf	YelworC	Masks off!	2	DEAR41626566
electroacoustic improvisation	spotify:playlist:2jGo6vr6swUBugWe7n2bzj	Poire_z	Improvisation, Pt. 7	2	ATD410002009
electroacoustic improvisation	spotify:playlist:2jGo6vr6swUBugWe7n2bzj	Michael Pisaro,Håkon Stene,Kristine Tjøgersen	I	2	NOFGH1791010
electroacoustic improvisation	spotify:playlist:2jGo6vr6swUBugWe7n2bzj	Sachiko M,Yoshihide Otomo	Filament 1 - 1	2	AUEX00601045
electroacoustic improvisation	spotify:playlist:2jGo6vr6swUBugWe7n2bzj	Marcus Schmickler	Fortuna Ribbon 1	2	ATE692129602
electroacoustic improvisation	spotify:playlist:2jGo6vr6swUBugWe7n2bzj	Manuel Mota,David Grubbs	Eira	2	QM4WV1803901
electroacoustic improvisation	spotify:playlist:2jGo6vr6swUBugWe7n2bzj	Peter Rehberg,Pita	Early Work 6	2	FR6V88400186
electroacoustic improvisation	spotify:playlist:2jGo6vr6swUBugWe7n2bzj	Lukas Ligeti,Barbara Kinga Majewska,Paweł Szamburski,Patryk Zakrocki,Mikolaj Palosz,Wojtek Kurek	That Which Has Remained ... That Which Will Emerge ...: I. Voices ... Silence ...	2	DEB162045201
electroclash	spotify:playlist:2lvWEEJ981sRN5GQzBvayl	Animated Coochie Wonders	Sex Smorgasbord	2	ushm90558704
electroclash	spotify:playlist:2lvWEEJ981sRN5GQzBvayl	Bunny Lake	Army Of Lovers - Radio Edit	2	ATUM71001706
electroclash	spotify:playlist:2lvWEEJ981sRN5GQzBvayl	Kids On TV	Poison	2	CA07R0900023
electroclash	spotify:playlist:2lvWEEJ981sRN5GQzBvayl	Magas	Indelible Mark	2	GBHLW1702164
electronicore	spotify:playlist:3Ma38ruHiz5DzF1Pb4sY1Y	Hayden, Oh My	Badmouth	2	TCABW1422884
electronicore	spotify:playlist:3Ma38ruHiz5DzF1Pb4sY1Y	Imora	Paint By Numbers	2	USA371533066
ethereal wave	spotify:playlist:54eDlcyhSBrHMt6dbHyFWp	Peter Ulrich	The Scryer & the Shewstone	2	ushm20541566
ethereal wave	spotify:playlist:54eDlcyhSBrHMt6dbHyFWp	Edera	Good Things	2	DEDE20600292
eurodance	spotify:playlist:4jw4G9J55p7tXV2xEAGUj4	Snaps	Who Gone Stop Me	2	ushm90493078
eurodance	spotify:playlist:4jw4G9J55p7tXV2xEAGUj4	The Rednecks	Monkey Business	2	uscgh1793372
fidget house	spotify:playlist:6vat2V2zBVw4cVQyp62EBQ	HeavyFeet,Nate James,Wideboys	Back Foot - Wideboys Radio Edit	2	GBBXG1220014
fidget house	spotify:playlist:6vat2V2zBVw4cVQyp62EBQ	Gigi Barocco,Ice Mc	Think About The Way 2k9 - Spencer And Hill Radio Edit	2	DEHK90911403
fidget house	spotify:playlist:6vat2V2zBVw4cVQyp62EBQ	Sharkslayer	Who Is He - Original Mix	2	FI3EF1000068
fidget house	spotify:playlist:6vat2V2zBVw4cVQyp62EBQ	Dirty Disco Youth	The Bell - Radio Mix	2	DEN061302846
fidget house	spotify:playlist:6vat2V2zBVw4cVQyp62EBQ	Nick Supply,AC Slater	Vertigo - Nick Supplys Horizontigo Remix	2	AUDL20700019
fidget house	spotify:playlist:6vat2V2zBVw4cVQyp62EBQ	Fckn Crew	On A Tué Le Canard	2	FR6V80829461
fidget house	spotify:playlist:6vat2V2zBVw4cVQyp62EBQ	Mom & Dad	Judas - Dem Slackers Remix	2	NLAD60900028
footwork	spotify:playlist:2TGq3rEqYHLaHh8cFyg8vm	DJ Taye,DJ Manny	Burnin Ya Boa	2	GBLZC1600093
footwork	spotify:playlist:2TGq3rEqYHLaHh8cFyg8vm	Boylan	Bullet Proof Soul	2	US78Q1110260
footwork	spotify:playlist:2TGq3rEqYHLaHh8cFyg8vm	Philthkids	Get 2 Werk - Dj Earl Remix	2	GBKQU1490783
footwork	spotify:playlist:2TGq3rEqYHLaHh8cFyg8vm	DJ Rome	Showtime	2	US78Q1110257
frenchcore	spotify:playlist:3b9YnVCg1sEUoXlRwQvBV2	The Butchers	Ray	2	GBKQU1875986
future garage	spotify:playlist:62T9WUAB2E7Xw6PmHRSlaQ	Lokiboi,Citizen	Love Saves the Day (feat. Citizen) - Lokiboi Vs Citizen Remix	2	GBP7Y1100123
future garage	spotify:playlist:62T9WUAB2E7Xw6PmHRSlaQ	C.R.S.T	Soul Glo - Part 1	2	GBF3S1100102
future garage	spotify:playlist:62T9WUAB2E7Xw6PmHRSlaQ	Spatial	Reification	2	IT4NQ1900056
future garage	spotify:playlist:62T9WUAB2E7Xw6PmHRSlaQ	Hot City,MC DT	Twist	2	GBGEY1000171
future garage	spotify:playlist:62T9WUAB2E7Xw6PmHRSlaQ	Duffstep	Close	2	GBWFX1000065
futurepop	spotify:playlist:5kLBrUOkzY9M7hbXfNE98t	Azoic	Let It All Go	2	US57M1493623
futurepop	spotify:playlist:5kLBrUOkzY9M7hbXfNE98t	!Distain	Mandragore	2	ushm90754192
garage house	spotify:playlist:1QOMMQeQ9X79U3JtRZXy57	Children of a Deeper Society	Move On (U.S. Motivational Mix)	2	GBCPZ0702237
garage house	spotify:playlist:1QOMMQeQ9X79U3JtRZXy57	Cassandra Harris	Hold On Tight - Think About It Mix	2	USESR9375863
ghettotech	spotify:playlist:0zturCsng8jMo3Pf2EXufv	DJ Shaun	Im A Freak	2	US-AQB-08-60212
ghettotech	spotify:playlist:0zturCsng8jMo3Pf2EXufv	DJ Cutlass Supreme	Rave Alert	2	GB-SCE-07-00001
ghettotech	spotify:playlist:0zturCsng8jMo3Pf2EXufv	DJ Flint	Denial #69 - Trick Don't Waste My Time	2	SEYOK1317464
ghettotech	spotify:playlist:0zturCsng8jMo3Pf2EXufv	Big Daddy Rick	Titty Inferno	2	US-AQB-05-00004
ghettotech	spotify:playlist:0zturCsng8jMo3Pf2EXufv	DJ Shortstop	Just Jit	2	US-AQB-05-00272
ghettotech	spotify:playlist:0zturCsng8jMo3Pf2EXufv	Smackulator	Hockey Girl	2	NLNY41000130
ghettotech	spotify:playlist:0zturCsng8jMo3Pf2EXufv	Boylan	Bullet Proof Soul	2	US78Q1110260
ghettotech	spotify:playlist:0zturCsng8jMo3Pf2EXufv	Body Mechanic	Peaceofmine	2	USGUM0610270
glitch	spotify:playlist:27smuYGRZZl9q0BCwda8en	Farmers Manual	Macro Woeb	2	ATE699600801
glitch	spotify:playlist:27smuYGRZZl9q0BCwda8en	Hecker	Bsf-tyk 5	2	ATE690304401
glitch	spotify:playlist:27smuYGRZZl9q0BCwda8en	Freiband	M	2	NLGJ30902019
glitch	spotify:playlist:27smuYGRZZl9q0BCwda8en	Ilpo Väisänen	Autioitu 1	2	ATE690103701
glitch	spotify:playlist:27smuYGRZZl9q0BCwda8en	Peter Rehberg,Pita	Early Work 6	2	FR6V88400186
glitch	spotify:playlist:27smuYGRZZl9q0BCwda8en	Yannis Kyriakides,Francesco Dillon	Words and Song Without Words	2	ushm81610758
goa trance	spotify:playlist:7iuklwaJAAJFkN7FEGPDvo	Nolax	Lonely Sunday	2	ATRD41000014
goa trance	spotify:playlist:7iuklwaJAAJFkN7FEGPDvo	Omegahertz	Cosmovatis	2	USI4R0709599
goa trance	spotify:playlist:7iuklwaJAAJFkN7FEGPDvo	The Grey Guy	Galactic Treatment - Original Mix	2	GBKQU1399021
goa trance	spotify:playlist:7iuklwaJAAJFkN7FEGPDvo	Sky Technology	A Ray of Light	2	USA2P1805259
goa trance	spotify:playlist:7iuklwaJAAJFkN7FEGPDvo	Blackstarrfinale	Cassiopeia	2	ATRD41000007
goa trance	spotify:playlist:7iuklwaJAAJFkN7FEGPDvo	Cosmic Silence	Psy Spirit	2	SEYOK0994553
goa trance	spotify:playlist:7iuklwaJAAJFkN7FEGPDvo	Qlipadelic Rythm & Jikooha	Spirit of God	2	ushm21271172
gqom	spotify:playlist:0V6rAUFWyVrTdxt701eZDh	Target No Ndile,DJ Tira	Single Ladies	2	ZAY361600374
hard trance	spotify:playlist:3S1y29gI6Wpchw9YCBHXM9	Cosmosonic	"Cosmosonic ""In My Mind"" - Stormcatchers Remix"	2	DEZ650522640
hardcore breaks	spotify:playlist:3Xf5DQq60Gssc5ccah89wW	Stu & Nee	Devotion	2	ATR981162916
hardcore breaks	spotify:playlist:3Xf5DQq60Gssc5ccah89wW	DJ Mayor,Jax Noise	This Is Old Style! - Original Mix	2	USLZJ1392782
hardcore breaks	spotify:playlist:3Xf5DQq60Gssc5ccah89wW	Kidchameleon	The Silent Scream - Original	2	ZAIJ51000106
hardcore breaks	spotify:playlist:3Xf5DQq60Gssc5ccah89wW	Idealz	Gloom - Original Mix	2	GBKQU1416970
hardcore breaks	spotify:playlist:3Xf5DQq60Gssc5ccah89wW	Liquid Crystal	Raindrops	2	QZ5FN1723955
hardcore breaks	spotify:playlist:3Xf5DQq60Gssc5ccah89wW	Ruff Rider	Dance Mutha	2	AUXN20902755
hardvapour	spotify:playlist:3uxKTCL9tzfBk4waAP3u9F	w u s o 命	City Streets	2	QMPKX1742045
hardvapour	spotify:playlist:3uxKTCL9tzfBk4waAP3u9F	MOD-COMM 81,Chungking Mansions	Kadath	2	USQY51763692
hardvapour	spotify:playlist:3uxKTCL9tzfBk4waAP3u9F	Baiyun	Open for Bulls	2	USA2P1828175
hauntology	spotify:playlist:7yKED2Klt77liZOLVAwzma	John Baker	Tros Y Gareg (Main Theme)	2	GBKTV0400161
hauntology	spotify:playlist:7yKED2Klt77liZOLVAwzma	Some Truths	Music For Trepanning	2	GBYET1400109
hauntology	spotify:playlist:7yKED2Klt77liZOLVAwzma	eMMplekz	Gloomy Leper Techno	2	GBYET1600005
hauntology	spotify:playlist:7yKED2Klt77liZOLVAwzma	Sone Institute	Dead Ahead	2	UK6822107226
hauntology	spotify:playlist:7yKED2Klt77liZOLVAwzma	KWJAZ	Passing Saints	2	EEKN30000217
hauntology	spotify:playlist:7yKED2Klt77liZOLVAwzma	Dolphins Into The Future	Ho'okena Halawai	2	DEX261601080
hauntology	spotify:playlist:7yKED2Klt77liZOLVAwzma	Food Pyramid,Roy Orb D.MT.	Summit Expedition	2	USA2Z1212056
hip house	spotify:playlist:0CaVoV0ZC3aUxNSb8SoZVf	Kevin Irving	Children of the Night	2	USA371386689
illbient	spotify:playlist:1Me0qExIlbW7FgONEbkZE4	Simm	Visitor	2	QMDA61352594
illbient	spotify:playlist:1Me0qExIlbW7FgONEbkZE4	Extremadura	Beta, Counting Stones	2	USA560456844
illbient	spotify:playlist:1Me0qExIlbW7FgONEbkZE4	Spectre	The Bassick	2	FR6V80207981
illbient	spotify:playlist:1Me0qExIlbW7FgONEbkZE4	DJ Olive	The Furry Whale	2	US25T0914535
industrial hardcore	spotify:playlist:4SuEoxbyTWZvBG1cmnp2mq	Rude Awakening	Hostile	2	USASN1505713
industrial hardcore	spotify:playlist:4SuEoxbyTWZvBG1cmnp2mq	Peaky Pounder	Billie Jeans	2	NL-G42-09-00036
