genre	maingenre	sp_id	yt_id	artist_name	track_name	ISRC	pop	viewCount	yt_link
ambient techno	techno	0kooTs6G90mrJlUNA3LG4s	-8WH3hcYE6M	You're Me	Lunch In The Meadow	DEVH21800365	10	3430	https://www.youtube.com/watch?v=-8WH3hcYE6M
ambient techno	techno	0FVjmynnbK34ZuLKtMcPMr	_VXWrMsGS_Y	SCNTST	Basement Structure	DEDU21200325	20	16803	https://www.youtube.com/watch?v=_VXWrMsGS_Y
ambient techno	techno	1jkZQzrniLyiBbO8wvEjCA	thXSSJo1MQE	Aurora Halal,Wata Igarashi	Eternal Blue - Wata Igarashi Crossing Remix	USYBL1901649	17	13715	https://www.youtube.com/watch?v=thXSSJo1MQE
ambient techno	techno	3yo5BnK1cWRuAIMbJReCMZ	wROVVoFzBQU	F.U.S.E.,Richie Hawtin	Substance Abuse	CAM269180032	27	16292	https://www.youtube.com/watch?v=wROVVoFzBQU
atmospheric dnb	drum and bass	2bNcI3o4gUbHQYoNkUJkrG	k-cUXaEtMB0	Subject 13	Faith	GBCCH9600296	23	5680	https://www.youtube.com/watch?v=k-cUXaEtMB0
atmospheric dnb	drum and bass	4adxtLYaTfMvzZYaNw7M2O	_15_wPviWiQ	Motiv One	Cosmik - Instrumental Mix	GBCCH9700067	14	3201	https://www.youtube.com/watch?v=_15_wPviWiQ
atmospheric dnb	drum and bass	2pSqqTnXEuGyTFoa7D2yAr	ehuqjjgc_Qw	Fanu,Infader	Legacy	GBBHF1320091	29	2842	https://www.youtube.com/watch?v=ehuqjjgc_Qw
atmospheric dnb	drum and bass	5Z0pFaEHiccyydJ5sr2SFr	4LC-0yF447U	A Guy Called Gerald	How Long Is Now - Original Mix	GBGWW1200191	18	38099	https://www.youtube.com/watch?v=4LC-0yF447U
atmospheric dnb	drum and bass	5FV3kvVDBnwMlXypNM1mN7	aGD0vJ3uHks	Organic Synthetic	Space Walkin'	UAIV11700355	10	5234	https://www.youtube.com/watch?v=aGD0vJ3uHks
atmospheric dnb	drum and bass	6owiJ8kLq2NPMpdOJakcNv	AMG2rMxmZGE	Omni Trio	Rogue Satellite	GBFTM0400002	26	7751	https://www.youtube.com/watch?v=AMG2rMxmZGE
atmospheric dnb	drum and bass	1E3vApAHwQRFaJ0Ddi1T5J	FaOtborxNRg	Poets of Thought	Samba With JC	GBCCH9600298	23	4944	https://www.youtube.com/watch?v=FaOtborxNRg
atmospheric dnb	drum and bass	696uvqL9s64GlXmySSdvu5	lRefwwDDBc4	Subject 13	Oceans	USA560515270	10	7012	https://www.youtube.com/watch?v=lRefwwDDBc4
atmospheric dnb	drum and bass	3q9pJphrwl6tLquP90Kvo3	WOZthZRFPiE	Rantoul	Defalt - Instrumental Mix	GBCCH0100053	13	3457	https://www.youtube.com/watch?v=WOZthZRFPiE
atmospheric dnb	drum and bass	4llGdpSOJl0VMaGfxKgDbr	JE6kB8H3Sa8	Goldie,James Davidson,Subjective	Inkolelo	GBBHF1310488	31	21701	https://www.youtube.com/watch?v=JE6kB8H3Sa8
bass house	house	4dGspblo1g4D5yyYrwBri1	2jIpFnnD2p0	Cajama,Prima	Don't Let Me Down	FR2X42112196	38	36804	https://www.youtube.com/watch?v=2jIpFnnD2p0
bass house	house	0C3Y9kst8c4UmLzomWeTTw	6bFu7b5uBGw	SQWAD	Big Ting Vibe	NLRD51859915	41	61855	https://www.youtube.com/watch?v=6bFu7b5uBGw
bass house	house	3r8MVTnfDgg0XnlPPYrATk	gmtNkL3KR7s	Mr Virgo,Skepsis	Hypnotical - Skepsis Remix	FR2X41704710	37	21679	https://www.youtube.com/watch?v=gmtNkL3KR7s
