,genre,pl_id,artist_name,track_name,track_pop,track_isrc,yt_link,viewCount
4855,diva house,spotify:playlist:0kAFZCbHemKb8RxZhDPZbv,Masters At Work,Work (Radio Edit),18,GBCFZ0701294,https://www.youtube.com/watch?v=cwCkG16EfAk,4113
4863,diva house,spotify:playlist:0kAFZCbHemKb8RxZhDPZbv,Jeanie Tracy,Can I Come over and Play with You Tonight,12,GBRH31200073,https://www.youtube.com/watch?v=N28WWNuvghs,25124
15103,soulful house,spotify:playlist:5KloWVVDflJ495FWRbh0QE,"Elements Of Life,Lisa Fischer,Cindy Mizelle,Louie Vega",Into My Life (You Brought The Sunshine) - Louie Vega Roots Mix,24,GBLV61810868,https://www.youtube.com/watch?v=EgTK7BJfr60,19289
11011,krautrock,spotify:playlist:3IttYEBZxFNRk0J6eZaHDd,Kin Ping Meh,Fairy-Tales,15,DEN120406073,https://www.youtube.com/watch?v=p7aLcURe3dg,75894
775,aggrotech,spotify:playlist:710IY6IOVa3h64CvE0INWb,Dolls of Pain,Bloody Club,14,FR6V81171361,https://www.youtube.com/watch?v=7SmK0pJ54eU,5708
4871,doomcore,spotify:playlist:3OFavLb9tW7gAThaWdthHx,"AK-Industry,Â",Resurgence,9,GB8KE1858828,https://www.youtube.com/watch?v=40MShMGFv6Q,6230
11020,krautrock,spotify:playlist:3IttYEBZxFNRk0J6eZaHDd,Conrad Schnitzler,Auf Dem Schwarzen Canal,12,GBBCK7700157,https://www.youtube.com/watch?v=PfJFO5zztlA,53223
11023,krautrock,spotify:playlist:3IttYEBZxFNRk0J6eZaHDd,Missus Beastly,Geisha,10,DEC830700146,https://www.youtube.com/watch?v=hKnRwRtoaZc,12227
786,aggrotech,spotify:playlist:710IY6IOVa3h64CvE0INWb,"Reaxion Guerrilla,Johan van Roy",Psycho Destruxion,11,TCAAS1092113,https://www.youtube.com/watch?v=svl9iyQ48wI,5128
15130,soulful house,spotify:playlist:5KloWVVDflJ495FWRbh0QE,"Opolopo,Angela Johnson",Stay This Way - Original Mix,28,GB7GV2061030,https://www.youtube.com/watch?v=DmmOnrIcHyU,27673
8992,hardstyle,spotify:playlist:49gROGYXXsoGl3DQxGcmdb,Dr Rude,3301,38,BEB682100187,https://www.youtube.com/watch?v=1W4kW4_ccY4,101605
6946,eurodance,spotify:playlist:4jw4G9J55p7tXV2xEAGUj4,Look Twice,Move That Body (Radio Edit),39,FISCA1000025,https://www.youtube.com/watch?v=G9It3f_5IEA,34410
6947,eurodance,spotify:playlist:4jw4G9J55p7tXV2xEAGUj4,Taleesa,I Found Luv - Club Mix,39,FR6V80041933,https://www.youtube.com/watch?v=SmQONaoZO30,6986
4900,doomcore,spotify:playlist:3OFavLb9tW7gAThaWdthHx,"The DJ Producer,Hellfish,Dolphin",Tribe Of XTRM,16,NLCK41043951,https://www.youtube.com/watch?v=DWrt7v64EMY,28802
4902,doomcore,spotify:playlist:3OFavLb9tW7gAThaWdthHx,Sei2ure,Suck My Dick,13,NLG421700098,https://www.youtube.com/watch?v=l9IbmuMi5QM,50649
15144,soulful house,spotify:playlist:5KloWVVDflJ495FWRbh0QE,Sebb Junior,Lover,39,GBKQU1952146,https://www.youtube.com/watch?v=U4viIp-q1Ts,5011
