,genre,pl_id,artist_name,track_name,track_pop,track_isrc,yt_link,viewCount
7014,fidget house,spotify:playlist:6vat2V2zBVw4cVQyp62EBQ,Action Man,Droben,13,TCAEX2034496,https://www.youtube.com/watch?v=68w07lAUHWY,49201
871,alternative dance,spotify:playlist:5LwcdWTCx2JoWeVVWOYsGj,"Does It Offend You, Yeah?",Dawn Of The Dead,36,GBAAA0800046,https://www.youtube.com/watch?v=Bl8GwLX_p6g,349017
7020,fidget house,spotify:playlist:6vat2V2zBVw4cVQyp62EBQ,"Udachi,Jubilee",Smoke Rings,10,USYBL1000472,https://www.youtube.com/watch?v=H-a0YirtI-M,62684
877,alternative dance,spotify:playlist:5LwcdWTCx2JoWeVVWOYsGj,The Presets,My People,34,AUUM70700903,https://www.youtube.com/watch?v=CZe9YxJNs48,2323489
13178,nitzhonot,spotify:playlist:4LfTA71lypx7XfDpvMZXae,"Shivax,Becker",Make You Groove,24,DEMH90900436,https://www.youtube.com/watch?v=v4rtkpQuYUw,49351
13182,nitzhonot,spotify:playlist:4LfTA71lypx7XfDpvMZXae,Goasia,"God, Good Morning",10,SEYOK1420193,https://www.youtube.com/watch?v=gyW31bXGp0M,24967
11135,kuduro,spotify:playlist:1BRJmIuTmwJPrwQdusX91F,KARFOX,Refuse To Give Up,12,PT1GK1900145,https://www.youtube.com/watch?v=bpVXN64_LCw,3174
15232,sovietwave,spotify:playlist:4WQXurIqquq1yIaIbxWsSa,Группа «Тигры»,Котик,12,uscgh1854591,https://www.youtube.com/watch?v=dAS5bruoQZg,9175
11138,kuduro,spotify:playlist:1BRJmIuTmwJPrwQdusX91F,"Djorge Cadete,Dorivaldo Mix,Yzy Key",Uranio 235 (Magic Star),11,PT1GK1800099,https://www.youtube.com/watch?v=Tsctc6-iUxQ,153705
2953,bubblegum dance,spotify:playlist:2FYJ3kw41qQGBtIDhusO7L,Cherona,Rigga-Ding-Dong-Song,39,DEE860900419,https://www.youtube.com/watch?v=3f43xmRqxOM,9077954
9100,hardvapour,spotify:playlist:3uxKTCL9tzfBk4waAP3u9F,"猫 シ Corp.,t e l e p a t h テレパシー能力者",目覚め,28,USA2P1941623,https://www.youtube.com/watch?v=CeuVoBx4AM0,6043
2963,bubblegum dance,spotify:playlist:2FYJ3kw41qQGBtIDhusO7L,Diskofil,Vågner I Natten,29,DKBGA0000504,https://www.youtube.com/watch?v=dpJ-B9-rxbU,3081
9110,hardvapour,spotify:playlist:3uxKTCL9tzfBk4waAP3u9F,Wolfenstein OS X,Alone in the Mall,21,USQY51617457,https://www.youtube.com/watch?v=Ai6TDplJ1wI,369
5041,downtempo,spotify:playlist:5zxj55xrB53As97uvt5x8x,"Sounds From The Ground,Taz",Move On,35,GBFLG1100205,https://www.youtube.com/watch?v=N11uhnReVYs,275745
15281,sovietwave,spotify:playlist:4WQXurIqquq1yIaIbxWsSa,Импульс-80,Небесные странники,8,AEA0D1942191,https://www.youtube.com/watch?v=wmEmg1cFyH8,3328
7100,folktronica,spotify:playlist:6JPd0xG3fBmhUSlxsTfPyW,múm,We Have a Map of the Piano,39,GBDCA0100153,https://www.youtube.com/watch?v=GA5Q8u5f0Ks,778443
